,name,x,y
0,Audi,-0.06042803253259023,0.02057768963079274
1,BMW,-0.024809737672265856,-0.07670566947346559
2,Land Rover,0.2508603996734501,0.01563575718346638
3,Lexus,0.023163280259775636,-0.007935374671036189
4,Mercedes-Benz,-0.34812442125633336,0.21892215366460271
5,Porsche,0.0035250796590228363,0.138410180558641
6,Topic - Driving & Control,-0.07570860785399545,0.08275787607240273
7,Topic - Exterior,-0.0836786877475681,-0.00734707208603461
8,Topic - Interior,-0.11237322881076013,-0.13352372556955175
9,Topic - Official Online,0.05896108340050991,0.16954038576418143
10,Topic - Post-Sales,0.008688525091680884,-0.14972527840800182
11,Topic - Purchase,0.10553912250558124,-0.022036623986542696
12,Topic - Question,0.22704017851051786,0.12123965202187416
